Day,WordCount
1001,2825
1002,2309
1003,2930
1004,3393
1005,4376
1006,2563
1007,3309
1008,3007
1009,2455
1010,2945
1011,3050
1012,2759
1013,2830
1014,2187
1015,3302
1016,2440
1017,4049
1018,2995
1019,3999
1020,2282
1021,2452
1022,2525
1023,2944
1024,2695
1025,2316
1026,3009
1027,2167
1028,2400
1029,2675
1030,2872
1031,2137
1101,2031
1102,2092
1103,1701
1104,2270
1105,2366
1106,2489
1107,1900
1108,1757
1109,2070
1110,2926
1111,1839
1112,2356
1113,2709
1114,2767
1115,3669
1116,3779
1117,3160
1118,4012
1119,2724
1120,2832
1121,2864
1122,2902
1123,2321
1124,3221
1125,3276
1126,2609
1127,2908
1128,3161
1129,3359
1130,2712
1201,2649
1202,2127
1203,2592
1204,2859
1205,2574
1206,3006
1207,2436
1208,2734
1209,3182
1210,2680
1211,3385
1212,2273
1213,2767
1214,2639
1215,2330
1216,3357
1217,3281
1218,2875
1219,2894
1220,2724
1221,3337
1222,2862
1223,3036
1224,2654
1225,2540
1226,2383
1227,3227
1228,2862
1229,3274
1230,2975
1231,2199
0101,2315
0102,3285
0103,2270
0104,2844
0105,3215
0106,2517
0107,3513
0108,3252
0109,3674
0110,3573
0111,2277
0112,3019
0113,4157
0114,2544
0115,2771
0116,2928
0117,3540
0118,3351
0119,3533
0120,3110
0121,3624
0122,3084
0123,4555
0124,3124
0125,3421
0126,4240
0127,3544
0128,2574
0129,3151
0130,3099
0131,2682
0201,3061
0202,2865
0203,3726
0204,2799
0205,2918
0206,3010
0207,2755
0208,3414
0209,2789
0210,2680
0211,3416
0212,2731
0213,2151
0214,2891
0215,2149
0216,2886
0217,2861
0218,2143
0219,2560
0220,3507
0221,2949
0222,3192
0223,3171
0224,2895
0225,3168
0226,3047
0227,3116
0228,2743
0301,2555
0302,2731
0303,2551
0304,2499
0305,3140
0306,2170
0307,2441
0308,2974
0309,2928
0310,2797
0311,2625
0312,2581
0313,2301
0314,2878
0315,2703
0316,3184
0317,3321
0318,3620
0319,2849
0320,2039
0321,3326
0322,2529
0323,2782
0324,2699
0325,2554
0326,2413
0327,2680
0328,3146
0329,2871
0330,2238
0331,2747
0401,2504
0402,1987
0403,2171
0404,2298
0405,2408
0406,1859
0407,1830
0408,2510
0409,2919
0410,2931
0411,2631
0412,2509
0413,1660
0414,1957
0415,2255
0416,2167
0417,1978
0418,2238
0419,2266
0420,1975
0421,2712
0422,2489
0423,1972
0424,2481
0425,1869
0426,2688
0427,2616
0428,1825
0429,2157
0430,3081
0501,1856
0502,1956
0503,1990
0504,2735
0505,2820
0506,3314
0507,2958
0508,2651
0509,3135
0510,2278
0511,2196
0512,2476
0513,2761
0514,2364
0515,2512
0516,1963
0517,3024
0518,2168
0519,2529
0520,2385
0521,2078
0522,2314
0523,2672
0524,2498
0525,2249
0526,2163
0527,1897
0528,2710
0529,3194
0530,1944
0531,3178
0601,2471
0602,2390
0603,1869
0604,2088
0605,2943
0606,1957
0607,2240
0608,2581
0609,3144
0610,2342
0611,2317
0612,2849
0613,2279
0614,2291
0615,2333
0616,2864
0617,2736
0618,1849
0619,2588
0620,1841
0621,2028
0622,2047
0623,2666
0624,2108
0625,2682
0626,2726
0627,2847
0628,3014
0629,2126
0630,2372
0701,2090
0702,2494
0703,3135
0704,2979
0705,2587
0706,3356
0707,2672
0708,3551
0709,2626
0710,3263
0711,4104
0712,2665
0713,3574
0714,3733
0715,4107
0716,3389
0717,4026
0718,3116
0719,2692
0720,3704
0721,3152
0722,3401
0723,3909
0724,3552
0725,2977
0726,4640
0727,3497
0728,3449
0729,3274
0730,3497
0731,2974
0801,3782
0802,3933
0803,3932
0804,3584
0805,3181
0806,3341
0807,2613
0808,3075
0809,2767
0810,3254
0811,2309
0812,2703
0813,2091
0814,2984
0815,2409
0816,3166
0817,2996
0818,2292
0819,2748
0820,2947
0821,3365
0822,4104
0823,2928
0824,2216
0825,3709
0826,2595
0827,2519
0828,2190
0829,3307
0830,1990
0831,2068
0901,3089
0902,2855
0903,1616
0904,2608
0905,3056
0906,1709
0907,2308
0908,2316
0909,3164
0910,3402
0911,2377
0912,2120
0913,3647
0914,2122
0915,2582
0916,2294
0917,3566
0918,3223
0919,3207
0920,2991
0921,2516
0922,2757
0923,3210
0924,2481
0925,2379
0926,2897
0927,2863
0928,2435
0929,3369
0930,3363
